algo_variant,rank,neighbor,distance
"DE(pop=20,F=0.8,CR=0.9)",1,"DE(pop=40,F=0.8,CR=0.9)",0.021215823381761867
"DE(pop=20,F=0.8,CR=0.9)",2,RS_CONT,0.021215823381761867
"DE(pop=40,F=0.8,CR=0.9)",1,RS_CONT,0.0
"DE(pop=40,F=0.8,CR=0.9)",2,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.011852661140374754
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1,"DE(pop=20,F=0.8,CR=0.9)",0.20959767350450054
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",2,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.2462991653715516
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1,"DE(pop=40,F=0.8,CR=0.9)",0.011852661140374754
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",2,RS_CONT,0.011852661140374754
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1.6645852081591173
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1.7220167682004757
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.2819191623061609
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=40,F=0.8,CR=0.9)",0.2918783665718392
RS_CONT,1,"DE(pop=40,F=0.8,CR=0.9)",0.0
RS_CONT,2,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.011852661140374754
