algo_variant,rank,neighbor,distance
"DE(pop=20,F=0.8,CR=0.9)",1,"DE(pop=40,F=0.8,CR=0.9)",-2.220446049250313e-16
"DE(pop=20,F=0.8,CR=0.9)",2,RS_CONT,1.1102230246251565e-16
"DE(pop=40,F=0.8,CR=0.9)",1,"DE(pop=20,F=0.8,CR=0.9)",-2.220446049250313e-16
"DE(pop=40,F=0.8,CR=0.9)",2,RS_CONT,1.1102230246251565e-16
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.7254489894170797
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",2,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.8616352154229319
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1,"DE(pop=20,F=0.8,CR=0.9)",0.00337785092425269
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",2,"DE(pop=40,F=0.8,CR=0.9)",0.00337785092425269
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.9146025599833751
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",2,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1.1329323612521007
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.7254489894170797
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.9146025599833751
RS_CONT,1,"DE(pop=20,F=0.8,CR=0.9)",1.1102230246251565e-16
RS_CONT,2,"DE(pop=40,F=0.8,CR=0.9)",1.1102230246251565e-16
