domain,budget,target,n_rows,n_instances,n_algos,mean_metric
bin,500,0.0,780,60,13,0.07175480769230769
bin,2000,0.0,780,60,13,0.16774839743589742
bin,5000,0.0,780,60,13,0.21310096153846153
cont,500,0.01,187,17,11,0.042112299465240643
cont,500,0.1,253,23,11,0.0625
cont,500,1.0,220,20,11,0.049857954545454546
cont,2000,0.0001,187,17,11,0.1255013368983957
cont,2000,0.001,253,23,11,0.03507905138339921
cont,2000,0.01,220,20,11,0.05127840909090909
cont,5000,1e-06,187,17,11,0.2730614973262032
cont,5000,0.001,253,23,11,0.09016798418972333
cont,5000,0.01,220,20,11,0.08678977272727273
