domain,budget,target,algo_variant,n_instances,mean_metric,median_metric,std_metric,mean_p05,mean_p95,rank
bin,500,0.0,HC(flips=1),60,0.184375,0.03125,0.33055371335874334,0.14230358728368173,0.24774055224574718,1
bin,500,0.0,"SA(T0=1.0,alpha=0.995,flips=1)",60,0.159375,0.03125,0.3032366450871808,0.11901141562637765,0.22224006651300615,2
bin,500,0.0,"SA(T0=2.0,alpha=0.99,flips=1)",60,0.15833333333333333,0.03125,0.30666516019956686,0.11943284464039018,0.21968317715646754,3
bin,500,0.0,"UMDA(pop=50,elite=0.2)",60,0.13125,0.03125,0.2781312487395541,0.09394168513958961,0.19324916255512564,4
bin,500,0.0,TABU(tenure=12),60,0.0375,0.03125,0.0189082306533604,0.0041488252271916545,0.10112923911742495,5
bin,500,0.0,TABU(tenure=7),60,0.0375,0.03125,0.026863788556218578,0.004583850244416105,0.10114171589474442,6
bin,500,0.0,HC(flips=2),60,0.03697916666666667,0.03125,0.021902726576779778,0.004266408094437327,0.10038316057636985,7
bin,500,0.0,"GA(pop=100,pc=0.9,pm=0.02)",60,0.03125,0.03125,0.0,0.0017002198174252134,0.09246509889883199,8
bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.02)",60,0.03125,0.03125,0.0,0.0016413912324168183,0.0918986729562683,9
bin,500,0.0,"GA(pop=50,pc=0.9,pm=0.05)",60,0.03125,0.03125,0.0,0.00165152572577126,0.0922352389548074,10
bin,500,0.0,RS_BIN,60,0.03125,0.03125,0.0,0.0016688751983887683,0.09246964331954058,11
bin,500,0.0,"SA(T0=2.0,alpha=0.995,flips=2)",60,0.03125,0.03125,0.0,0.0016611092813322216,0.09112248171047561,12
bin,2000,0.0,HC(flips=1),60,0.39010416666666664,0.03125,0.45900865518331135,0.3480417621567811,0.43963855593140067,1
bin,2000,0.0,"SA(T0=1.0,alpha=0.995,flips=1)",60,0.38958333333333334,0.03125,0.45835821067565186,0.34753685753472535,0.43937914353731,2
bin,2000,0.0,"SA(T0=2.0,alpha=0.99,flips=1)",60,0.3880208333333333,0.03125,0.4564339536096852,0.3449113500610393,0.43895087294251717,3
bin,2000,0.0,"UMDA(pop=100,elite=0.2)",60,0.2994791666666667,0.03125,0.4205356433322307,0.25734586926096426,0.35498013177311255,4
bin,2000,0.0,"UMDA(pop=50,elite=0.2)",60,0.29791666666666666,0.03125,0.4220355025296808,0.25716273247112087,0.3519878966721867,5
bin,2000,0.0,HC(flips=2),60,0.090625,0.03125,0.11730837692428521,0.04024124496817586,0.16908158861393266,6
bin,2000,0.0,"SA(T0=2.0,alpha=0.995,flips=2)",60,0.0890625,0.03125,0.11816943832760236,0.03965469578368725,0.1659505434764935,7
bin,2000,0.0,"GA(pop=50,pc=0.9,pm=0.02)",60,0.057291666666666664,0.03125,0.07505441764043362,0.017885043272813688,0.1265391260127199,8
bin,2000,0.0,TABU(tenure=7),60,0.04791666666666667,0.03125,0.04655315593688161,0.010364753339117351,0.11489432347470611,9
bin,2000,0.0,TABU(tenure=12),60,0.03697916666666667,0.03125,0.016766232437290224,0.0038504831494978633,0.10117033910467203,10
bin,2000,0.0,"GA(pop=100,pc=0.9,pm=0.02)",60,0.03125,0.03125,0.0,0.001689561069046685,0.09170989679272071,11
bin,2000,0.0,"GA(pop=50,pc=0.9,pm=0.05)",60,0.03125,0.03125,0.0,0.0016787317439261084,0.09158347370476,12
bin,5000,0.0,HC(flips=1),60,0.43072916666666666,0.03125,0.4475647554976829,0.3798877529017996,0.4859375362836275,1
bin,5000,0.0,"SA(T0=2.0,alpha=0.99,flips=1)",60,0.4265625,0.03125,0.44773977012086097,0.375950169795278,0.4820654940421735,2
bin,5000,0.0,"SA(T0=1.0,alpha=0.995,flips=1)",60,0.4239583333333333,0.03125,0.44668649228178553,0.3731855369317313,0.47959684957301796,3
