domain,budget,target,algo_variant,mean_metric,n_instances,mean_p05,mean_p95
bin,500,0.0,HC(flips=1),0.184375,60,0.14230358728368173,0.24774055224574718
bin,2000,0.0,HC(flips=1),0.39010416666666664,60,0.3480417621567811,0.43963855593140067
bin,5000,0.0,HC(flips=1),0.43072916666666666,60,0.3798877529017996,0.4859375362836275
cont,500,0.01,HC_CONT(sigma=0.2),0.13419117647058823,17,0.0714267647715402,0.22204106446501884
cont,500,0.1,HC_CONT(sigma=0.2),0.11684782608695653,23,0.07471504038782915,0.18543234959378985
cont,500,1.0,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.0796875,20,0.047422418706706035,0.13930454915338913
cont,2000,0.0001,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.5790441176470589,17,0.519096392218744,0.6328619574290199
cont,2000,0.001,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.07336956521739131,23,0.03286446105252818,0.14266836995259236
cont,2000,0.01,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.0828125,20,0.048471627562633006,0.14580764582030875
cont,5000,1e-06,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.8033088235294118,17,0.7471462316182924,0.8383715575684992
cont,5000,0.001,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.24320652173913043,23,0.1907559832735966,0.3134974072207238
cont,5000,0.01,"DE(pop=20,F=0.8,CR=0.9)",0.25625,20,0.2125874860603379,0.31629884578418827
