ts_ms,domain,instance_id,budget,algo,seed,best_value,evals,meta_json
1769284522139,continuous,cont_sphere_d2_0000,2000,RS,0,0.010387511027280359,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522180,continuous,cont_sphere_d2_0000,2000,RS,1,0.0026969848946689265,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522248,continuous,cont_sphere_d2_0000,2000,RS,2,0.00579462550362555,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522310,continuous,cont_sphere_d2_0000,2000,RS,3,0.013534794840892643,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522378,continuous,cont_sphere_d2_0000,2000,RS,4,0.02152116842748616,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522407,continuous,cont_sphere_d2_0000,2000,HC,0,0.006286021750833228,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522450,continuous,cont_sphere_d2_0000,2000,HC,1,0.0006414245515736097,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522469,continuous,cont_sphere_d2_0000,2000,HC,2,0.002381205079596234,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522515,continuous,cont_sphere_d2_0000,2000,HC,3,0.006936059780892603,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522541,continuous,cont_sphere_d2_0000,2000,HC,4,0.000861627995446477,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522581,continuous,cont_sphere_d2_0000,2000,SA,0,3.984981540362804e-05,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522612,continuous,cont_sphere_d2_0000,2000,SA,1,0.00023242893700334638,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522645,continuous,cont_sphere_d2_0000,2000,SA,2,0.0008058389008014801,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522674,continuous,cont_sphere_d2_0000,2000,SA,3,0.0011538004276400182,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522726,continuous,cont_sphere_d2_0000,2000,SA,4,0.00035594883911008553,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522848,continuous,cont_sphere_d2_0000,2000,DE,0,2.8649142692676178e-37,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284522961,continuous,cont_sphere_d2_0000,2000,DE,1,8.032256011064494e-38,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284523088,continuous,cont_sphere_d2_0000,2000,DE,2,3.200129393431091e-35,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284523199,continuous,cont_sphere_d2_0000,2000,DE,3,9.715929085452936e-38,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284523328,continuous,cont_sphere_d2_0000,2000,DE,4,3.1126014202870433e-40,2000,"{""func"": ""sphere"", ""dim"": 2}"
1769284523637,continuous,cont_sphere_d2_0000,10000,RS,0,0.0016408357353038887,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284523919,continuous,cont_sphere_d2_0000,10000,RS,1,0.0015411188107632397,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284524206,continuous,cont_sphere_d2_0000,10000,RS,2,0.0014891944802933289,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284524599,continuous,cont_sphere_d2_0000,10000,RS,3,0.006133985908823127,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284525180,continuous,cont_sphere_d2_0000,10000,RS,4,7.486114016930866e-05,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284525343,continuous,cont_sphere_d2_0000,10000,HC,0,0.0007253795177038275,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284525633,continuous,cont_sphere_d2_0000,10000,HC,1,0.0015104026137088894,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284525842,continuous,cont_sphere_d2_0000,10000,HC,2,0.00017697223724433685,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284525965,continuous,cont_sphere_d2_0000,10000,HC,3,0.0003399631175628256,10001,"{""func"": ""sphere"", ""dim"": 2}"
1769284526231,continuous,cont_sphere_d2_0000,10000,HC,4,0.002465105721732847,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284526414,continuous,cont_sphere_d2_0000,10000,SA,0,5.269353742575154e-07,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284526555,continuous,cont_sphere_d2_0000,10000,SA,1,0.00013465609406778544,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284526712,continuous,cont_sphere_d2_0000,10000,SA,2,0.00027831668175021793,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284526863,continuous,cont_sphere_d2_0000,10000,SA,3,2.113421390124153e-05,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284527004,continuous,cont_sphere_d2_0000,10000,SA,4,0.00012240464186999485,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284527621,continuous,cont_sphere_d2_0000,10000,DE,0,1.2425146305841974e-201,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284528209,continuous,cont_sphere_d2_0000,10000,DE,1,1.936913463557193e-196,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284528867,continuous,cont_sphere_d2_0000,10000,DE,2,5.561222085809083e-196,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284529455,continuous,cont_sphere_d2_0000,10000,DE,3,8.960974311009286e-197,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284530058,continuous,cont_sphere_d2_0000,10000,DE,4,3.3528833157907252e-192,10000,"{""func"": ""sphere"", ""dim"": 2}"
1769284530129,continuous,cont_rosenbrock_d2_0001,2000,RS,0,0.1523951205943503,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530203,continuous,cont_rosenbrock_d2_0001,2000,RS,1,0.3066611541241843,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530276,continuous,cont_rosenbrock_d2_0001,2000,RS,2,0.003363306222405025,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530340,continuous,cont_rosenbrock_d2_0001,2000,RS,3,0.00909576586154634,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530419,continuous,cont_rosenbrock_d2_0001,2000,RS,4,0.16900209784703796,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530451,continuous,cont_rosenbrock_d2_0001,2000,HC,0,0.038623278707515155,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530504,continuous,cont_rosenbrock_d2_0001,2000,HC,1,0.04607557466936761,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530544,continuous,cont_rosenbrock_d2_0001,2000,HC,2,0.001823737954137152,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530578,continuous,cont_rosenbrock_d2_0001,2000,HC,3,0.008066210475153905,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530626,continuous,cont_rosenbrock_d2_0001,2000,HC,4,0.011586895335189614,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530673,continuous,cont_rosenbrock_d2_0001,2000,SA,0,0.018293341750783315,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530727,continuous,cont_rosenbrock_d2_0001,2000,SA,1,0.0030619428170901167,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530778,continuous,cont_rosenbrock_d2_0001,2000,SA,2,0.009595239119351642,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530826,continuous,cont_rosenbrock_d2_0001,2000,SA,3,0.00874726280234904,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284530889,continuous,cont_rosenbrock_d2_0001,2000,SA,4,0.0011536530559712991,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284531021,continuous,cont_rosenbrock_d2_0001,2000,DE,0,8.280525010685232e-27,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284531165,continuous,cont_rosenbrock_d2_0001,2000,DE,1,1.1093356479670479e-31,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284531307,continuous,cont_rosenbrock_d2_0001,2000,DE,2,1.326272396902826e-29,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284531455,continuous,cont_rosenbrock_d2_0001,2000,DE,3,1.779867417404908e-29,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284531591,continuous,cont_rosenbrock_d2_0001,2000,DE,4,0.0,2000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284531972,continuous,cont_rosenbrock_d2_0001,10000,RS,0,0.014857931196007975,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284532360,continuous,cont_rosenbrock_d2_0001,10000,RS,1,0.007832587049624572,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284532931,continuous,cont_rosenbrock_d2_0001,10000,RS,2,0.0377027118892428,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284533343,continuous,cont_rosenbrock_d2_0001,10000,RS,3,0.017126191058676268,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284533736,continuous,cont_rosenbrock_d2_0001,10000,RS,4,0.0203158434358831,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284533968,continuous,cont_rosenbrock_d2_0001,10000,HC,0,0.0029737560831681062,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284534181,continuous,cont_rosenbrock_d2_0001,10000,HC,1,2.5154187496724337e-05,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284534388,continuous,cont_rosenbrock_d2_0001,10000,HC,2,0.009242915976853429,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284534608,continuous,cont_rosenbrock_d2_0001,10000,HC,3,0.006285477579286881,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284534817,continuous,cont_rosenbrock_d2_0001,10000,HC,4,0.008998717680368157,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284535067,continuous,cont_rosenbrock_d2_0001,10000,SA,0,0.00022126559643697788,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284535305,continuous,cont_rosenbrock_d2_0001,10000,SA,1,6.703214300890019e-05,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284535551,continuous,cont_rosenbrock_d2_0001,10000,SA,2,0.001678573407040986,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284535794,continuous,cont_rosenbrock_d2_0001,10000,SA,3,0.0027688152877800316,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284536037,continuous,cont_rosenbrock_d2_0001,10000,SA,4,0.004250551711314718,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284536741,continuous,cont_rosenbrock_d2_0001,10000,DE,0,0.0,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284537439,continuous,cont_rosenbrock_d2_0001,10000,DE,1,0.0,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284538162,continuous,cont_rosenbrock_d2_0001,10000,DE,2,0.0,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284538877,continuous,cont_rosenbrock_d2_0001,10000,DE,3,0.0,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284539794,continuous,cont_rosenbrock_d2_0001,10000,DE,4,0.0,10000,"{""func"": ""rosenbrock"", ""dim"": 2}"
1769284539873,continuous,cont_rastrigin_d2_0002,2000,RS,0,1.0841704169599993,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284539937,continuous,cont_rastrigin_d2_0002,2000,RS,1,1.0747644250966886,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540003,continuous,cont_rastrigin_d2_0002,2000,RS,2,1.1738438497613828,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540071,continuous,cont_rastrigin_d2_0002,2000,RS,3,1.3467677966929088,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540144,continuous,cont_rastrigin_d2_0002,2000,RS,4,1.102654897436807,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540175,continuous,cont_rastrigin_d2_0002,2000,HC,0,0.093813726105477,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540211,continuous,cont_rastrigin_d2_0002,2000,HC,1,0.25463650818154093,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540242,continuous,cont_rastrigin_d2_0002,2000,HC,2,0.660207266133348,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540274,continuous,cont_rastrigin_d2_0002,2000,HC,3,0.5399259105525509,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540311,continuous,cont_rastrigin_d2_0002,2000,HC,4,0.11729853716639838,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540347,continuous,cont_rastrigin_d2_0002,2000,SA,0,0.11517551536408632,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540383,continuous,cont_rastrigin_d2_0002,2000,SA,1,0.17596005484070076,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540424,continuous,cont_rastrigin_d2_0002,2000,SA,2,0.998621264971824,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540466,continuous,cont_rastrigin_d2_0002,2000,SA,3,0.11795747237961507,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540507,continuous,cont_rastrigin_d2_0002,2000,SA,4,0.1725931074596474,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540639,continuous,cont_rastrigin_d2_0002,2000,DE,0,2.044699058956212e-07,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540764,continuous,cont_rastrigin_d2_0002,2000,DE,1,0.0,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284540893,continuous,cont_rastrigin_d2_0002,2000,DE,2,0.9949590570932898,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284541022,continuous,cont_rastrigin_d2_0002,2000,DE,3,0.0,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284541152,continuous,cont_rastrigin_d2_0002,2000,DE,4,0.9949590570932898,2000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284541479,continuous,cont_rastrigin_d2_0002,10000,RS,0,0.39725370989386377,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284541828,continuous,cont_rastrigin_d2_0002,10000,RS,1,0.5456298793367793,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284542155,continuous,cont_rastrigin_d2_0002,10000,RS,2,0.9980090178685685,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284542494,continuous,cont_rastrigin_d2_0002,10000,RS,3,0.10800121895226766,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284542824,continuous,cont_rastrigin_d2_0002,10000,RS,4,0.3168854734549811,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284542986,continuous,cont_rastrigin_d2_0002,10000,HC,0,0.2740263740409148,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284543163,continuous,cont_rastrigin_d2_0002,10000,HC,1,0.08609178661839678,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284543331,continuous,cont_rastrigin_d2_0002,10000,HC,2,0.06862690771827928,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284543496,continuous,cont_rastrigin_d2_0002,10000,HC,3,0.0060199134361056394,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284543663,continuous,cont_rastrigin_d2_0002,10000,HC,4,0.0448887977354957,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284543854,continuous,cont_rastrigin_d2_0002,10000,SA,0,0.02257263334939097,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284544052,continuous,cont_rastrigin_d2_0002,10000,SA,1,0.0061210339518567025,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284544249,continuous,cont_rastrigin_d2_0002,10000,SA,2,0.026148694427874375,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284544441,continuous,cont_rastrigin_d2_0002,10000,SA,3,0.004736600264781288,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284544643,continuous,cont_rastrigin_d2_0002,10000,SA,4,0.033838731004436795,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284545283,continuous,cont_rastrigin_d2_0002,10000,DE,0,0.0,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284545922,continuous,cont_rastrigin_d2_0002,10000,DE,1,0.0,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284546564,continuous,cont_rastrigin_d2_0002,10000,DE,2,0.9949590570932898,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284547212,continuous,cont_rastrigin_d2_0002,10000,DE,3,0.9949590570932898,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284547847,continuous,cont_rastrigin_d2_0002,10000,DE,4,0.0,10000,"{""func"": ""rastrigin"", ""dim"": 2}"
1769284547930,continuous,cont_ackley_d2_0003,2000,RS,0,0.4426404047092807,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548017,continuous,cont_ackley_d2_0003,2000,RS,1,0.5182808017569696,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548105,continuous,cont_ackley_d2_0003,2000,RS,2,0.7411543291885327,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548188,continuous,cont_ackley_d2_0003,2000,RS,3,0.7033165613463841,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548265,continuous,cont_ackley_d2_0003,2000,RS,4,0.16082299497412267,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548317,continuous,cont_ackley_d2_0003,2000,HC,0,0.11349416565376602,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548363,continuous,cont_ackley_d2_0003,2000,HC,1,0.45976509909814967,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548409,continuous,cont_ackley_d2_0003,2000,HC,2,0.10660253192223879,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548461,continuous,cont_ackley_d2_0003,2000,HC,3,0.1344819364404839,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548507,continuous,cont_ackley_d2_0003,2000,HC,4,0.23544539673572418,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548564,continuous,cont_ackley_d2_0003,2000,SA,0,0.1285887271124051,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548621,continuous,cont_ackley_d2_0003,2000,SA,1,0.12870250913925618,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548677,continuous,cont_ackley_d2_0003,2000,SA,2,0.05659281727149024,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548729,continuous,cont_ackley_d2_0003,2000,SA,3,0.1497062000303342,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548787,continuous,cont_ackley_d2_0003,2000,SA,4,0.0797544781894115,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284548932,continuous,cont_ackley_d2_0003,2000,DE,0,4.440892098500626e-16,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284549078,continuous,cont_ackley_d2_0003,2000,DE,1,4.440892098500626e-16,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284549231,continuous,cont_ackley_d2_0003,2000,DE,2,4.440892098500626e-16,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284549379,continuous,cont_ackley_d2_0003,2000,DE,3,4.440892098500626e-16,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284549525,continuous,cont_ackley_d2_0003,2000,DE,4,4.440892098500626e-16,2000,"{""func"": ""ackley"", ""dim"": 2}"
1769284549939,continuous,cont_ackley_d2_0003,10000,RS,0,0.18179757498993654,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284550348,continuous,cont_ackley_d2_0003,10000,RS,1,0.48517847636998157,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284550754,continuous,cont_ackley_d2_0003,10000,RS,2,0.39025023947432347,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284551231,continuous,cont_ackley_d2_0003,10000,RS,3,0.10082362295275304,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284551661,continuous,cont_ackley_d2_0003,10000,RS,4,0.4574416566539026,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284551913,continuous,cont_ackley_d2_0003,10000,HC,0,0.16425288650194902,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284552152,continuous,cont_ackley_d2_0003,10000,HC,1,0.038035941200494694,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284552401,continuous,cont_ackley_d2_0003,10000,HC,2,0.005639752364694051,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284552642,continuous,cont_ackley_d2_0003,10000,HC,3,0.10584252933989946,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284552899,continuous,cont_ackley_d2_0003,10000,HC,4,0.21269748060511207,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284553181,continuous,cont_ackley_d2_0003,10000,SA,0,0.019828764280682254,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284553454,continuous,cont_ackley_d2_0003,10000,SA,1,0.018887603268691766,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284553733,continuous,cont_ackley_d2_0003,10000,SA,2,0.024754094308996333,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284554008,continuous,cont_ackley_d2_0003,10000,SA,3,0.061651781800474925,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284554274,continuous,cont_ackley_d2_0003,10000,SA,4,0.054016773838537535,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284555021,continuous,cont_ackley_d2_0003,10000,DE,0,4.440892098500626e-16,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284555752,continuous,cont_ackley_d2_0003,10000,DE,1,4.440892098500626e-16,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284556495,continuous,cont_ackley_d2_0003,10000,DE,2,4.440892098500626e-16,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284557224,continuous,cont_ackley_d2_0003,10000,DE,3,4.440892098500626e-16,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284557966,continuous,cont_ackley_d2_0003,10000,DE,4,4.440892098500626e-16,10000,"{""func"": ""ackley"", ""dim"": 2}"
1769284558036,continuous,cont_sphere_d5_0004,2000,RS,0,2.4320631084301887,2000,"{""func"": ""sphere"", ""dim"": 5}"
1769284558085,continuous,cont_sphere_d5_0004,2000,RS,1,3.7871059800801867,2000,"{""func"": ""sphere"", ""dim"": 5}"
1769284558136,continuous,cont_sphere_d5_0004,2000,RS,2,3.040722998662725,2000,"{""func"": ""sphere"", ""dim"": 5}"
1769284558194,continuous,cont_sphere_d5_0004,2000,RS,3,1.5731973716241305,2000,"{""func"": ""sphere"", ""dim"": 5}"
1769284558272,continuous,cont_sphere_d5_0004,2000,RS,4,1.547608029105766,2000,"{""func"": ""sphere"", ""dim"": 5}"
1769284558294,continuous,cont_sphere_d5_0004,2000,HC,0,0.7463967271486939,2000,"{""func"": ""sphere"", ""dim"": 5}"
1769284558323,continuous,cont_sphere_d5_0004,2000,HC,1,0.4053617717758259,2000,"{""func"": ""sphere"", ""dim"": 5}"
